Comune;Istat_comune;Anno;Dato relativo a:;Popolazione;Altro RD(t);Ingombranti Misti(t);Carta e Cartone(t);Frazione Organica(t);Legno(t);Metallo(t);Plastica(t);RAEE(t);Selettiva(t);Tessili(t);Vetro(t)
Spirano;03016206;2010;Comune;5.652;0;16,3368;263,18;505,46000000000004;88,8;13,78;66,93;28,235;5,512;6,11;205,3;
Spirano;03016206;2011;Comune;5.639;0;15,3636;274,1;509,7;108,28;14,100000000000001;70,1;28,216;3,4650000000000003;5,19;201,04;
Spirano;03016206;2012;Comune;5.645;0;23,9814;276,27;524,5600000000001;116,82;16,7;67,9;25,154;7,524;5,41;201,75;
Spirano;03016206;2013;Comune;5.714;0,42;17,35200069;249,96;559,3;128,7;34,18;66,12;22,695;7,563000000000001;5,69;187,93;
Stezzano;03016207;2010;Comune;12.867;0;1,04;794,68;1242,99;233,12;160,32;209,36;73,19399999999999;22,425;12,93;459,06;
Stezzano;03016207;2011;Comune;12.623;0;2,7936;793;1385,12;244,68;157,44;223,55;63,477999999999994;24;11,06;480,76;
Stezzano;03016207;2012;Comune;12.624;0;90,4979;766,8;1456,51;231,5;150,82999999999998;228,60999999999999;53,94799999999999;27,72;10,75;478,83;
Stezzano;03016207;2013;Comune;13.068;0;20,84068799;764,54;1605,28;282,2;95,5;262,21;53,795;25,923000000000002;11,97;559,88;
Strozza;03016208;2010;Comune;1.075;0,95;0;47,54;16,67;15,52;7,38;18,41;3,76;1,24;4,44;66,82;
Strozza;03016208;2011;Comune;1.066;0;0;44,73;12,78;15,98;10,19;7,3;5,83;1;4,98;71,73;
Strozza;03016208;2012;Comune;1.065;0;0,828;55,61;1,88;5,26;38,876;16,76;1,7800000000000002;0,4;4,33;56,38;
Strozza;03016208;2013;Comune;1.094;0;0,781200031;57,22;29,93;0;36,428;16,94;0;0;3,49;48,53;
Suisio;03016209;2010;Comune;3.888;0;1,5313;248,34;402;62,78;69,57000000000001;65,27;15,405;2,111;22,819;143,14;
Suisio;03016209;2011;Comune;3.873;0;0;230,07999999999998;383,92;68,44;65,74;66,27;13,585;2,663;22,401;143,72;
Suisio;03016209;2012;Comune;3.876;0;22,4517;207,65;412,48;76,76;56,43;69,52;19,525;3,4029999999999996;21,949;129,82;
Suisio;03016209;2013;Comune;3.911;0;18,7408005;187,025;426,65999999999997;78,51;47,96;73,2;27,012;3,1069999999999998;19,634;136,63;
Taleggio;03016210;2010;Comune;625;0;1,5639;39,216;0;0;6,185;6;4,731999999999999;0,661;0;45,9;
Taleggio;03016210;2011;Comune;603;0;6,6257;35,2;0;0;5,473;5,42;2,523;0,9780000000000001;0;44,41;
Taleggio;03016210;2012;Comune;596;0;6,7387;23,439;0;0;15,542;7,552;5,08;0,229;0;50,671;
Taleggio;03016210;2013;Comune;600;0;5,974640025;31,948;0;0;0,095;8,129;3,393;0,28500000000000003;0;42,66;
Tavernola Bergamasca;03016211;2010;Comune;2.146;0;0;88,3;9,54;31,53;45,587;21,319;10,409;2,8509999999999995;5,69;62,082;
Tavernola Bergamasca;03016211;2011;Comune;2.140;0;0,1778;106,507;19,169;15,475;44,685;35,589;13,151;4,423;6,05;78,199;
Tavernola Bergamasca;03016211;2012;Comune;2.142;2,601;22,2647;83,088;26,876;7,956;34,955;31,056;12,562;2,977;4,76;69,598;
Tavernola Bergamasca;03016211;2013;Comune;2.143;0;0,177920008;56,36;17,01;2,9;12,83;28,42;4,681;0,18;8,78;77,42;
Telgate;03016212;2010;Comune;4.847;0,48;0;393,12;436,78;61,62;85,30999999999999;54,02;1,2;2,9699999999999998;12,66;138,27;
Telgate;03016212;2011;Comune;4.857;0;0;244,18;434,30000000000007;82;48,550000000000004;61,72;27,214999999999996;3,92;11,59;138,53;
Telgate;03016212;2012;Comune;4.884;0;17,112;225,63;428,49;57,04;45,24;71,53;22,355;2,9399999999999995;10,81;136,77;
Telgate;03016212;2013;Comune;5.026;0,91;0;227,42;460,09000000000003;71,17;43,73;70,7;5,933999999999999;2,21;3,67;131,16;
Terno d\'Isola;03016213;2010;Comune;7.665;0;0;365,692;666,5930000000001;101,654;70,919;105,46;48,269000000000005;5,8629999999999995;10,603;222,144;
Terno d\'Isola;03016213;2011;Comune;7.665;0;0;368,832;685,256;121,676;70,735;105,627;39,507;7,064;13,5;286,48;
Terno d\'Isola;03016213;2012;Comune;7.692;1,422;60,9339;358,366;680,056;126,502;72,31;99,24;41,339;8,272;8,12;260,94;
Terno d\'Isola;03016213;2013;Comune;7.962;0;54,12413688;342,547;724,133;146,589;73,025;102,186;28,619;5,332;6,69;255,984;
Torre Boldone;03016214;2010;Comune;8.334;9,482;17,4164;634,816;1130,97;151,119;106,798;176,549;31,857999999999997;12,138;6,07;351,41;
Torre Boldone;03016214;2011;Comune;8.333;10,42;10,5577;615,299;1152,993;177,349;105,452;169,65;25,911;14,412;10,346;310,585;
Torre Boldone;03016214;2012;Comune;8.370;5,062;17,5507;588,208;1146,8319999999999;160,97;99,142;171,404;25,394;15,366999999999999;13,835;325,102;
Torre Boldone;03016214;2013;Comune;8.646;1,215;0;552,798;1159,184;150,938;87,45599999999999;171,708;24,775;6,65;15,541;305,609;
Torre de\' Roveri;03016216;2010;Comune;2.326;0;4,5443;129,17;222,36;48,51;0;33,09;15,995000000000001;1,578;2,34;96,22;
Torre de\' Roveri;03016216;2011;Comune;2.310;0;4,1243;118,48;210,91000000000003;37,915;0,02;35,92;11,7;2,515;2,56;96,07;
Torre de\' Roveri;03016216;2012;Comune;2.318;0;15,0561;127,01;203,34;41,52;28,55;36,39;11,52;2,16;4,47;97,30000000000001;
Torre de\' Roveri;03016216;2013;Comune;2.367;0;15,2100006;121,15;211,29000000000002;41,425;18,56;41,13;6,384;1,695;8,01;100,98;
Torre Pallavicina;03016217;2010;Comune;1.138;0;2,6244;37,11;0;0;0;19,1;3,88;0;0;52,177;
Torre Pallavicina;03016217;2011;Comune;1.114;0;4,2448;32,42;34;0;0;19,24;0;0;0;49,46;
Torre Pallavicina;03016217;2012;Comune;1.112;0;2,974;33,72;0;0;0;19,98;3,09;0,148;0;48,974;
Torre Pallavicina;03016217;2013;Comune;1.115;0;2,762000041;34,38;0;0;0,77;21,389999999999997;3,036;0,15100000000000002;0;40,260000000000005;
Trescore Balneario;03016218;2010;Comune;9.685;2,1;0;568,6899999999999;874,1700000000001;132,87;61,66;97,18;55,599000000000004;8,19;5,66;345,93;
Trescore Balneario;03016218;2011;Comune;9.427;0;0;573,89;916,96;177,93;70,57;100,75;49,772000000000006;10,483999999999998;4,59;362,66;
Trescore Balneario;03016218;2012;Comune;9.439;0;24,2856;631,94;961,36;113,23;57,47;194,98000000000002;43,446;10,35;12,11;353,15;
Trescore Balneario;03016218;2013;Comune;9.906;0;34,91640139;652,89;1100,35;123,3;58,269999999999996;251,65;39,587;5,46;18,99;358,51;
Treviglio;03016219;2010;Comune;29.034;13,62;70,2846;2987,4;3199,49;1291,91;152,1686;599,4879999999999;165,346;27,19;0;1465,522;
Treviglio;03016219;2011;Comune;28.410;17,28;57,1907;3076,9500000000003;3336,21;1445,83;138,54999999999998;617,1500000000001;146,49900000000002;29,369999999999997;4,63;1396,27;
Treviglio;03016219;2012;Comune;28.496;12,08;69,993;3022,13;3378,1;1495,02;127,03;637,38;122,054;35,724999999999994;37,36;1360,08;
Treviglio;03016219;2013;Comune;29.129;8,62;67,17640286;2821,63;3277,21;1463,6399999999999;127,36999999999999;596,87;116,45400000000001;32,17;4,54;1262,51;
Treviolo;03016220;2010;Comune;10.297;22,9;226,4086;681,52;1167,68;218,88;161,8;153,26;91,08;19,796999999999997;30,86;439,93;
Treviolo;03016220;2011;Comune;10.302;16,53;186,7638;686,15;1180,29;190,48000000000002;139,48;148,94;75,355;19,012;26,669999999999998;440,99;
Treviolo;03016220;2012;Comune;10.308;3,68;49,6676;703,6;1203,5;185,72;125,74000000000001;151;59,56;17,83;22,76;407,96;
Treviolo;03016220;2013;Comune;10.513;0;7,855397997;722,2;1218,24;152,98;123,61;207,3;62,896;17,95;25,340000000000003;413,72;
Ubiale Clanezzo;03016221;2010;Comune;1.395;0;0;71,41;40,16;0;30;21,82;4,5600000000000005;0,335;4,346;63,13;
Ubiale Clanezzo;03016221;2011;Comune;1.399;1,78;0;84,38;55,17;0;24,119999999999997;18,72;9,905000000000001;0,8400000000000001;4,234;64,4;
Ubiale Clanezzo;03016221;2012;Comune;1.399;0,22;0;56,32;36,355;29,88;17,88;22,35;6,658;3,8979999999999997;4,016;64,47;
Ubiale Clanezzo;03016221;2013;Comune;1.401;0;0;60,35;45,8;17,3;14,53;27,09;5,893;0,77;3,27;60,58;
Urgnano;03016222;2010;Comune;9.592;8,92;6,746;542,07;1127,9;245,94;79,69;169,515;95,52;12,832;23,66;402,95;
Urgnano;03016222;2011;Comune;9.549;4,48;1,7;540,32;1145,22;239,06;83,71000000000001;169,64;78,5;15,587000000000002;22,77;398,76;
Urgnano;03016222;2012;Comune;9.558;4,07;5,1714;526,85;1207,1799999999998;207,08;66,01;166,07999999999998;62,75;14,739999999999998;17,48;354,38;
Urgnano;03016222;2013;Comune;9.741;0,72;13,94432066;606,48;1188,02;212,7;48,335;192,5;57,126;12,041000000000002;24,27;432,74;
Valbondione;03016223;2010;Comune;1.097;0;15,1012;49,3;19,56;9,091;24,98;15,62;5,308;0,138;0;86,56;
Valbondione;03016223;2011;Comune;1.085;0;10,5433;55,120000000000005;22,66;0;20,96;18,22;5,362;0,088;0;90,56;
Valbondione;03016223;2012;Comune;1.084;0;14,8489;51,7;23,22;0;21,14;15,98;4,21;0,15;0;97,05;
Valbondione;03016223;2013;Comune;1.071;0;17,11059974;49,830000000000005;22,94;0;15,66;14,3;4,096;0,119;1,6;90,3;
Valbrembo;03016224;2010;Comune;3.753;0;0;210,85;254,82;49,96;44,28;55,33;17,268;2,7560000000000002;13,067;111,56;
Valbrembo;03016224;2011;Comune;3.886;0;0;201,55;241,79;50,72;32,74;53,322;17,889;3,129;12,05;147,5;
Valbrembo;03016224;2012;Comune;3.907;0;10,386;213,48;272,5;43,12;39,629999999999995;52,46;12,7;3,6050000000000004;10,848;186,94;
Valbrembo;03016224;2013;Comune;4.113;0;14,45760057;201,31;248,42000000000002;49,4;35,94;53,85;16,107;2,585;12,007;144,64;
Valgoglio;03016225;2010;Comune;616;0;0,6612;18,18;14,76;4,865;0;3,08;2,239;0,05499999999999999;6,93;39,48;
Valgoglio;03016225;2011;Comune;607;0;0,4977;20,14;12,74;0;0;7,14;3,0029999999999997;0,061;4,1;35,8;
Valgoglio;03016225;2012;Comune;608;0;0,5721;18,560000000000002;18,3;0;0;5,44;2,402;0,064;6;30,74;
Valgoglio;03016225;2013;Comune;604;0;0,818399987;15,84;33,68;0;2,42;5,38;2,311;0,035;6,45;31,54;
Valleve;03016226;2010;Comune;137;0;1,1521;16,972;0;0;0;1,77;1,1400000000000001;0,175;0;12,41;
Valleve;03016226;2011;Comune;136;0;0;14,032;0;0;0;2,24;4,018000000000001;0,08199999999999999;0;14,5;
Valleve;03016226;2012;Comune;137;0;0;12,388;0;0;0;1,82;1,19;0,008;0;13,45;
Valleve;03016226;2013;Comune;136;0;0;13,588;0;0;0;2,02;1,0110000000000001;0,159;0;17,06;
Valnegra;03016227;2010;Comune;209;0;0,0494;14,92;0;0;0;4,17;0,9390000000000001;0,143;0;11,27;
Valnegra;03016227;2011;Comune;207;0;0;12,81;0;0;3,38;3,97;0,17099999999999999;0,22999999999999998;0;10,92;
Valnegra;03016227;2012;Comune;207;0;0,7765;8,22;0;0;2,4;4,12;0;0,145;0;12,11;
Valnegra;03016227;2013;Comune;207;0;0,650160003;13,6;0;0;4,5;4,02;0;0,14;0,978;11,75;
VALSECCA;03016228;2010;Comune;425;0;0,75;12,07;0;0;1,75;3,29;0;0,045;0;20,6;
VALSECCA;03016228;2011;Comune;421;0;0,2632;12,17;0;0;1,5899999999999999;2,88;3,1;0,061;0;21,99;
VALSECCA;03016228;2012;Comune;428;0,23;2,4023;15,887;2,499;3,96;2,377;4,225;3,101;0,30800000000000005;0;21,797;
VALSECCA;03016228;2013;Comune;436;0,03;2,862360114;16,586;5,553;6,92;3,467;4,86;2,8609999999999998;0,6930000000000001;0;19,562;
Valtorta;03016229;2010;Comune;295;0;0;10,46;0;0;0;2,71;1,625;0,213;0;17,14;
Valtorta;03016229;2011;Comune;292;0;0;4,37;0;0;5,36;2,24;0,856;0,142;0;17,82;
Valtorta;03016229;2012;Comune;291;0;0;4,44;0;0;5,94;2,11;1,9110000000000003;0,35000000000000003;0;17,23;
Valtorta;03016229;2013;Comune;286;0;1,201200005;4,27;0;0;9,83;2,96;1,721;0,278;0;19,12;
Vedeseta;03016230;2010;Comune;217;0;0,4184;10,493;0;0;16,55;2,1;1,755;0,28800000000000003;0;21,33;
Vedeseta;03016230;2011;Comune;210;0;1,787;9,419;0;0;1,483;1,97;1,23;0,14100000000000001;0;18,96;
Vedeseta;03016230;2012;Comune;212;0;6,101;18,31;0;0;6,575;3,23;1,5200000000000002;0,235;0;23,89;
Vedeseta;03016230;2013;Comune;214;0;10,77090005;19,73;0;0;0,245;2,93;4,295;0,475;0;19,82;
Verdellino;03016232;2010;Comune;7.790;1,22;0;332,51;672,5799999999999;143,89;41,98;111,25;7,035;7,420000000000001;0;228,7;
Verdellino;03016232;2011;Comune;7.654;2,21;0;345,07;707,8;172,9;35,93;103,58;31,299999999999997;6,95;0;279,5;
Verdellino;03016232;2012;Comune;7.632;4,65;0;326,02;714,0799999999999;148,74;33,81;106,36;25,594;9,53;0;276,94;
Verdellino;03016232;2013;Comune;7.708;3,02;0;328,23;763,5;167,23;39,23;107,17;19,712;9,73;0;234,87;
Verdello;03016233;2010;Comune;7.829;3,39;47,1168;468,58;694,52;191,12;61,040000000000006;93,24;44,245;10,048;0;293,2;
Verdello;03016233;2011;Comune;7.748;3,56;37,6894;468,76;736,27;204;60,94;92,89;54,793;9,855;0;280,6;
Verdello;03016233;2012;Comune;7.691;5,74;26,19;429,86;715,2;212,38;52,78;88,39;31,255;8,956;0;303,67;
Verdello;03016233;2013;Comune;7.957;8,8;20,77063875;444,54;749,28;193,28;58,42;93,7;35,22;10,791;0;291,71000000000004;
Vertova;03016234;2010;Comune;4.871;3,384;25,7714;236,145;102,786;79,92;77,71600000000001;59,429;13,102;3,951;9,75;183,23000000000002;
Vertova;03016234;2011;Comune;4.844;2,697;12,9014;260,471;143,246;79,706;85,756;63,675;12,350999999999999;7,3870000000000005;8,22;201,649;
Vertova;03016234;2012;Comune;4.850;1,785;18,2501;255,135;188,696;87,97;73,66;65,936;9,706;6,1450000000000005;5,25;193,858;
Vertova;03016234;2013;Comune;4.843;2,211;26,6548571;242,264;141,903;93,255;68,746;64,761;8,341;6,404;9,44;187,321;
Viadanica;03016235;2010;Comune;1.142;0;0;45,2;16,35;20,28;16,99;12,32;6,728000000000001;0,15100000000000002;4,26;30,19;
Viadanica;03016235;2011;Comune;1.084;0;0;45,96;18,21;23,445;30,63;11,82;10,504;0,9000000000000001;4,06;22,17;
Viadanica;03016235;2012;Comune;1.082;0;12,4443;42,46;16,25;21,51;25,44;11,99;6,83;0,78;3,14;25,95;
Viadanica;03016235;2013;Comune;1.122;0;0;44,41;21,15;25,12;24,94;12,1;7,859000000000001;1,05;3,52;26,23;
Vigano San Martino;03016236;2010;Unione Media Val Cavallina;13.048;0;0;135,18;260,26;0;24,08;26,1;16,17;1,33;2,98;103,67;
Vigano San Martino;03016236;2011;Unione Media Val Cavallina;12.932;0;0;133,78;299,96;0;54,599999999999994;27,52;13,49;2,58;7,14;60,5;
Vigano San Martino;03016236;2012;Unione Media Val Cavallina;12.936;0;20,47;130,57;331,51;0;17,67;32,95;18,18;1,05;10,1;115,64;
Vigano San Martino;03016236;2013;Unione Media Val Cavallina;13.436;0;16,74000067;139,76;345,53;28;24,79;33,13;15,331;3,91;10,58;111,87;
Vigolo;03016237;2010;Comune;603;0;0;1,33;2,706;8,942;13,385000000000002;6,046;2,952;0,42699999999999994;4,23;23,85;
Vigolo;03016237;2011;Comune;607;0;0,0499;11,978;5,38;4,343;12,542;2,697;3,691;1,147;6,29;16,012;
Vigolo;03016237;2012;Comune;609;0,716;6,1309;12,418;7,401;2,191;9,625;2,221;3,4590000000000005;0,893;4,52;22,118000000000002;
Vigolo;03016237;2013;Comune;598;0;0;12,88;0;1,5;3,98;3,65;2,37;0,11;2,89;21,05;
Villa d\'Adda;03016238;2010;Comune;4.729;1,2;5,9675;239,86;654,9;97,56;73,42;95,435;23,464;2,632;31,899;179,81;
Villa d\'Adda;03016238;2011;Comune;4.735;0;0,6613;240,25;644,72;82,7;64,16;88,039;20,915;5,809;26,427;182,77;
Villa d\'Adda;03016238;2012;Comune;4.730;0;32,3658;219,29;700,38;95,41;51,42;83,71;16,15;6,175000000000001;28,01;158,76;
Villa d\'Adda;03016238;2013;Comune;4.756;3,18;38,58060107;194,115;700,6;129,31;55,09;80,2;19,903;3,529;25,219;171,93;
Villa d\'Almè;03016239;2010;Comune;6.844;0;8,3865;410,496;608,03;145,47;62,04;86,3;39,154;14,91;20,883;252,35;
Villa d\'Almè;03016239;2011;Comune;6.811;0;8,5418;395,81;617,2;147,68;59,89;86,33;52,447;14,49;20,668;322,57;
Villa d\'Almè;03016239;2012;Comune;6.824;0;41,6981;385,35;621,14;145,58;41,19;96,01;43,785;9,512;19,141;273,07;
Villa d\'Almè;03016239;2013;Comune;6.813;0;34,47500015;383,08;677,31;179,67;46,26;102,73;31,538;10,537;18,187;280,73;
Villa di Serio;03016240;2010;Comune;6.608;5,48;0;352,17;901,75;70,33;118,26;109,28;32,23;7,635;15,41;226,54;
Villa di Serio;03016240;2011;Comune;6.620;3,67;0;363,24;996,87;63,46;115,97999999999999;107,03;31,594;8,79;6,88;223,32;
Villa di Serio;03016240;2012;Comune;6.624;0;7,97;386,17;836,38;49,24;113,41;103,06;25,822;5,33;15,34;226,54;
Villa di Serio;03016240;2013;Comune;6.620;0,36;0;372,45;785,53;48,77;129,97;107,54;21,676000000000002;7,784000000000001;13,52;211,42;
Villa d\'Ogna;03016241;2010;Comune;1.982;0;18,5562;74,22;37,64;4,4;0;23,54;3,016;0,15900000000000003;8;58,16;
Villa d\'Ogna;03016241;2011;Comune;1.971;0;8,0912;78,1;45,12;11,355;0;28,46;0,502;0,443;12,21;71,22;
Villa d\'Ogna;03016241;2012;Comune;1.980;0;11,8584;64,94;65,7;7,94;0;27,56;3,66;0,35000000000000003;11,02;65,07;
Villa d\'Ogna;03016241;2013;Comune;1.941;0;9,300739877;83,46000000000001;36,232;9,51;3,524;27,007;6,402;0,8079999999999999;9,1;80,393;
Villongo;03016242;2010;Comune;7.770;4,9;19,44;458,41;331,505;159,82;117,84;148,61;56,978;9,618;2,66;280,95;
Villongo;03016242;2011;Comune;7.619;0;13,4487;478,97;366,65;162,345;64,85;130,61;65,554;11,99;5,71;274;
Villongo;03016242;2012;Comune;7.618;0;53,838;452,52;341,72;169,5;67,89;121,89;45,61;15,049999999999999;3,57;257,66;
Villongo;03016242;2013;Comune;7.894;0;0;441,82000000000005;390,76;144,16;55,03;126,43;43,362;15,169999999999998;7,77;265,63;
Vilminore di Scalve;03016243;2010;Comune;1.532;0,57;16,888;76,86999999999999;0;12,811;8,35;13,77;4,244;0,407;0,8;91,56;
Vilminore di Scalve;03016243;2011;Comune;1.491;0;8,1681;75,324;0;8,635;6,3;15,56;7,4;0,399;2,4;85,64;
Vilminore di Scalve;03016243;2012;Comune;1.485;2,1;13,9602;73,265;0;0;10,28;14,605;5,361;0,617;0;85,79;
Vilminore di Scalve;03016243;2013;Comune;1.500;1,04;13,56339981;69,72;0;0;9,7;16,11;5,729;0,308;1,6;74,34;
Zandobbio;03016244;2010;Comune;2.746;2;45,798;81,27;109,47;150,06;22,81;20,78;20,273000000000003;2,26;5,87;67,292;
Zandobbio;03016244;2011;Comune;2.720;0;55,452;71,18;122,77;154,34;20,64;28,84;18,709000000000003;1,627;2,01;54,965;
Zandobbio;03016244;2012;Comune;2.717;0;58,8;46,96;123,06;148,36;14,850000000000001;31,53;14,77;1,7200000000000002;0;73,47;
Zandobbio;03016244;2013;Comune;2.744;0;58,27200232;59,28;118,53;175,82;14,18;35,86;13,291;1,155;8,18;97,785;
Zanica;03016245;2010;Comune;8.190;10,83;57,445;445,51;1056,02;139,23000000000002;64,94999999999999;100,69;49,368;14,2;28,49;292,12;
Zanica;03016245;2011;Comune;8.193;10,1;23,7104;462,23;919,1700000000001;152,35000000000002;67,87;104,53;47,445;16,686;26,48;294,14;
Zanica;03016245;2012;Comune;8.192;10,27;93,8064;411,05;930,04;168;50,769999999999996;102,75;45,103;13,209999999999999;22,72;276,22;
Zanica;03016245;2013;Comune;8.521;11,86;12,08799389;450,6;962,4000000000001;178,62;52,2;108,56;34,702;13,52;20,75;297,53;
Zogno;03016246;2010;Comune;9.097;9,54;0;583,326;751,21;146,12;86,148;90,79;80,52000000000001;6,785;4,391;359,3;
Zogno;03016246;2011;Comune;9.054;9,52;43,0605;589,88;819,3;169;83,25999999999999;87,97;73,422;3,69;4,921;387,57;
Zogno;03016246;2012;Comune;9.057;5,11;44,2838;601,84;789,12;146,41;72,895;86,75;50,411;7,827;18,2;410,32;
Zogno;03016246;2013;Comune;9.099;4,61;29,23620012;575,5;815,81;143,875;62,06;94,44;43,614000000000004;6,800000000000001;15,8;404,28;
Costa Serina;03016247;2010;Comune;980;5,644;11,8362;44,521;57,24;28,275;13,688;10,627;4,208;1,3150000000000002;0;53,579;
Costa Serina;03016247;2011;Comune;973;3,59;5,4985;42,068999999999996;60,456;24,837;12,008;10,214;6,279;0,056;0;47,967;
Costa Serina;03016247;2012;Comune;972;1,622;6,5243;40,945;40,646;23,349;15,767;11,296;5,621;0,997;0;47,202;
Costa Serina;03016247;2013;Comune;977;0,816;4,67376002;41,5;49,312;21,772;17,612;13,148;6,032;0,927;0;49,896;
Algua;03016248;2010;Comune;726;0;8,8356;37,53;42,136;20,945;10,141;7,87;3,117;0,973;0;35,954;
Algua;03016248;2011;Comune;721;2,686;4,1143;31,477999999999998;45,234;18,584;8,983;7,641;4,698;0,041999999999999996;0;35,89;
Algua;03016248;2012;Comune;721;1,203;4,842;30,387;30,162;17,326;11,701;8,383;4,168;0,7389999999999999;0;35,027;
Algua;03016248;2013;Comune;701;0,592;3,388420014;30,087;35,751;15,784;12,768999999999998;9,532;4,372;0,6709999999999999;0;36,175;
Cornalba;03016249;2010;Comune;310;0;6,9684;34,292;25,226;0;5,194;6,04;5,43;0,16;0;25,1;
Cornalba;03016249;2011;Comune;301;0;3,6038;35,42;25,956;0;5,736;5,256;3,919;0,29;0;24,26;
Cornalba;03016249;2012;Comune;303;0;6,4519;30,916;30,55;0;10,186;5,056;3,0140000000000002;0,092;0;33,43;
Cornalba;03016249;2013;Comune;320;0;6,51222003;29,427999999999997;41,432;0;9,45;5,798;2,896;0,054000000000000006;0;48,09;
Medolago;03016250;2010;Comune;2.388;0;0;148,66;199,68;17,94;28,1;46,04;9,36;4,25;8,485;83,25;
Medolago;03016250;2011;Comune;2.340;0,92;0;148,27;202,37;13,94;34,79;41,38;8,725;0,435;8,517;78,58;
Medolago;03016250;2012;Comune;2.332;0;7,6752;140,76;202,11;14,18;25,71;43,42;4,859999999999999;3,14;8,142;81,02;
Medolago;03016250;2013;Comune;2.365;0;3,200495999;131,33;187,64999999999998;10,18;26,71;41,22;4,5600000000000005;1,02;8,156;79,97;
Solza;03016251;2010;Comune;1.948;0;1,0229;72,15;213,06;31,22;25,21;25,78;9,895;2,393;5,181;68,17;
Solza;03016251;2011;Comune;1.961;0;0;69,54;220,16000000000003;30,92;20,29;26,88;8,02;1,326;4,732;65,18;
Solza;03016251;2012;Comune;1.967;0;1,418;70,61;206,78;18,26;17,74;26,28;6,279999999999999;1,666;4,09;60,27;
Solza;03016251;2013;Comune;2.044;0;8,165000217;65,42;192,86;24,78;15,31;25,4;6,679;2,508;4,569;63,96;
Sant\'Omobono Terme;03016252;2010;Comune;0;0;0;0;0;0;0;0;0;0;0;0;
Sant\'Omobono Terme;03016252;2011;Comune;0;0;0;0;0;0;0;0;0;0;0;0;
Sant\'Omobono Terme;03016252;2012;Comune;0;0;0;0;0;0;0;0;0;0;0;0;
Sant\'Omobono Terme;03016252;2013;Comune;0;0;0;0;0;0;0;0;0;0;0;0;
Val Brembilla;03016253;2010;Comune;0;0;0;0;0;0;0;0;0;0;0;0;
Val Brembilla;03016253;2011;Comune;0;0;0;0;0;0;0;0;0;0;0;0;
Val Brembilla;03016253;2012;Comune;0;0;0;0;0;0;0;0;0;0;0;0;
Val Brembilla;03016253;2013;Comune;0;0;0;0;0;0;0;0;0;0;0;0;
Ailoche;01096001;2010;Comune;333;0,122;3,0252;3,59;2,86;2,235;0,93;3,16;0,865;0;0,367;8,525;
Ailoche;01096001;2011;Comune;330;0,125;5,3586;4,32;0,71;2,16;1,145;2,78;1,542;0,14;0,72;9,775;
Ailoche;01096001;2012;Comune;327;0,11;6,481;4,95;1,445;3,04;0,935;2,77;1,021;0,025;0,542;7,28;
Ailoche;01096001;2013;Comune;345;0,09;10,185;5,9;1,125;1,875;0,925;3,26;1,29;0,07;0,596;5,12;
Andorno Micca;01096002;2010;Comune;3.481;0,26;1,44;133,16;18,577;20,437;0,116;33,43;13,945;0,259;6,32;79,73;
Andorno Micca;01096002;2011;Comune;3.407;0,02;3,528;116,71;9,62;49,801;12,018;36,37;20,616;0,582;6,587;84,42;
Andorno Micca;01096002;2012;Comune;3.383;0,1;6,24;145,57999999999998;12,9;29,034;9,046;58,45;14,677;0,269;5,861;111,3;
Andorno Micca;01096002;2013;Comune;3.354;0,214;24,545;145,71;16,65;21,187;8,159;63,35;10,694;0,603;5,18;123,01;
Benna;01096003;2010;Comune;1.183;0;18,882;67,05;104,37700000000001;53,86;0,609;44,85;2,042;0,28700000000000003;2,448;41,41;
Benna;01096003;2011;Comune;1.190;0;22,296;64,8;109,03999999999999;0,56;0,06;29,04;3,225;0,243;3,618;43,28;
Benna;01096003;2012;Comune;1.178;0,12;23,96;53,26;94,8;1,8;0,04;24,55;1,5099999999999998;0,213;2,739;48,89;
Benna;01096003;2013;Comune;1.157;0;28,94;60,019999999999996;102,28999999999999;3,36;0,16;25,95;0,785;0,333;2,967;49,71;
Biella;01096004;2010;Comune;45.589;6,157;622,7838;5146,069;3774,439;646,83;291,704;943,137;122,073;7,491999999999999;196,017;1762,955;
Biella;01096004;2011;Comune;43.818;4,801;637,4508;4696,863;4116,54;705,535;20,64;975,383;172,652;8,681000000000001;220,201;1762,01;
Biella;01096004;2012;Comune;43.747;5,23;712,282;3396,15;3532,12;241,01;13,06;847,95;86,07900000000001;10,537;184,78;1782,47;
Biella;01096004;2013;Comune;45.325;2,58;756,11;3282,1600000000003;3473,54;240,73;15;896,93;73,712;11,452;192,6;1768,25;
Bioglio;01096005;2010;Comune;1.013;0,108;1,4034;36,634;36,965;6,078;0,92;15,145;1,637;0,20700000000000002;0;38,871;
Bioglio;01096005;2011;Comune;986;0,15;3,4452;36,162;45,445;5,82;1,427;15,358;2,422;0,35200000000000004;0;37,219;
Bioglio;01096005;2012;CONSORZIO SMALTIMENTO RIFIUTI AREA BIELLESE;36.076;20,169;208,81;922,239;678,1899999999999;215,344;68,958;290,72;80,72999999999999;13,215;45,47;766,575;
Bioglio;01096005;2013;CONSORZIO SMALTIMENTO RIFIUTI AREA BIELLESE;35.316;19,085;309,059;858,489;703,6110000000001;176,632;60,245;284,941;86,458;18,973;51,058;707,133;
Borriana;01096006;2010;Comune;894;0,717;11,484;48,341;63,01;4,113;4,425;21,79;3,575;0,304;0;24,621;
