Comune;Istat_comune;Anno;Dato relativo a:;Popolazione;Altro RD(t);Ingombranti Misti(t);Carta e Cartone(t);Frazione Organica(t);Legno(t);Metallo(t);Plastica(t);RAEE(t);Selettiva(t);Tessili(t);Vetro(t)
Casteltermini;19084012;2012;GE.S.A. AG 2 SPA IN LIQUIDAZIONE;194.374;70,4;1828,79;3058,8532000000005;0;15,1668;161,0089;1827,0862;270,07000000000005;4,892;0;1199,2251;
Casteltermini;19084012;2013;Comune;8.380;0,76;22,42;71,17712305;0;0;2,296856739;26,43107031;0;0;0;58,34601523;
Castrofilippo;19084013;2010;Comune;3.034;0,42;16,58;181,465;0;0;28,44;34,26;3,2199999999999998;0,03;0;202,8;
Castrofilippo;19084013;2011;Comune;3.020;0;0;114,4545;0;0;13,72;19,9925;3;0;0;107;
Castrofilippo;19084013;2012;GE.S.A. AG 2 SPA IN LIQUIDAZIONE;194.374;70,4;1828,79;3058,8532000000005;0;15,1668;161,0089;1827,0862;270,07000000000005;4,892;0;1199,2251;
Castrofilippo;19084013;2013;Comune;3.016;0;8,8;3,15;4,08;0;13,72;19,9925;0;0,045;0;107;
Cattolica Eraclea;19084014;2010;Comune;3.994;0,6;0;75,74000000000001;431,76;10,2;10,27;11,9;14,14;0,01;6,2;70,42;
Cattolica Eraclea;19084014;2011;Comune;3.975;0,6374;0;80,4631;458,684;10,8361;10,9104;12,6421;15,021799999999999;0,0106;6,5866;74,8113;
Cattolica Eraclea;19084014;2012;SO.GE.I.R. AG1 SPA IN LIQUIDAZIONE;122.791;57,04;0;2866,452;10488,71;687,012;323,605;795,956;536,131;23,015;245,36;1001,929;
Cattolica Eraclea;19084014;2013;Comune;3.869;0,15;0;223,61;330,59;12,36;4,12;2,55;0;0;1,22;0;
Cianciana;19084015;2010;Comune;3.539;1,32;0;49,1;138,76;12,2;16,91;16,38;9,73;0,1;3,63;94,82;
Cianciana;19084015;2011;Comune;3.517;2,3826;0;88,62599999999999;250,4634;22,0211;30,5227;29,5661;17,5628;0,1805;6,5522;171,1512;
Cianciana;19084015;2012;SO.GE.I.R. AG1 SPA IN LIQUIDAZIONE;122.791;57,04;0;2866,452;10488,71;687,012;323,605;795,956;536,131;23,015;245,36;1001,929;
Cianciana;19084015;2013;Comune;3.508;3,5;0;16,16;366,17;0;0;0;0;0;9,71;171;
Comitini;19084016;2010;Comune;946;0,12;9,6;3,79;0;0;0,51;0,68;2,26;0,004;0;4,01;
Comitini;19084016;2011;Comune;944;0,059;4,7199;1,8634;0;0;0,2507;0,3343;1,1112;0,002;0;1,9716;
Comitini;19084016;2012;GE.S.A. AG 2 SPA IN LIQUIDAZIONE;194.374;70,4;1828,79;3058,8532000000005;0;15,1668;161,0089;1827,0862;270,07000000000005;4,892;0;1199,2251;
Comitini;19084016;2013;Comune;938;0,058999267;1,8;1,863393512;0;0;0,250746884;0,334329179;1,111152859;0,001966642;0;1,971558834;
Favara;19084017;2010;Comune;33.857;9,2;222,32;191,421;0;0;10,902999999999999;60,815;123,60000000000001;0,8320000000000001;0;206,435;
Favara;19084017;2011;Comune;32.972;9,4637;228,6917;196,9071;0;0;11,2154;62,558;127,1423;0,8559000000000001;0;212,3515;
